日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260105,棕榈油,p2609,09,中粮期货,1661,1570,91,净多,70,256
20260105,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260105,棕榈油,p2609,09,摩根大通期货,0,1100,-1100,净空,0,0
20260105,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260106,棕榈油,p2609,09,中粮期货,1530,2556,-1026,净空,-131,986
20260106,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260106,棕榈油,p2609,09,摩根大通期货,0,1100,-1100,净空,0,0
20260106,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260107,棕榈油,p2609,09,中粮期货,1560,2520,-960,净空,30,-36
20260107,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260107,棕榈油,p2609,09,摩根大通期货,0,1100,-1100,净空,0,0
20260107,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260108,棕榈油,p2609,09,中粮期货,1549,2423,-874,净空,-11,-97
20260108,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260108,棕榈油,p2609,09,摩根大通期货,0,1100,-1100,净空,0,0
20260108,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260109,棕榈油,p2609,09,中粮期货,1518,2022,-504,净空,-31,-401
20260109,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260109,棕榈油,p2609,09,摩根大通期货,0,1100,-1100,净空,0,0
20260109,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260112,棕榈油,p2609,09,中粮期货,1641,2152,-511,净空,123,130
20260112,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
20260112,棕榈油,p2609,09,摩根大通期货,0,1500,-1500,净空,0,400
20260112,棕榈油,p2609,09,瑞银期货,0,0,0,持平,0,0
20260113,棕榈油,p2609,09,中粮期货,1054,1712,-658,净空,-587,-440
20260113,棕榈油,p2609,09,乾坤期货,0,0,0,持平,0,0
