日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260116,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260116,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260116,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260116,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260116,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260119,豆粕,m2609,09,中粮期货,17729,48862,-31133,净空,605,2875
20260119,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260119,豆粕,m2609,09,摩根大通期货,18491,24340,-5849,净空,196,-1500
20260119,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260119,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260119,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260119,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260119,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260120,豆粕,m2609,09,中粮期货,17143,57243,-40100,净空,-586,8381
20260120,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260120,豆粕,m2609,09,摩根大通期货,17979,24340,-6361,净空,-512,0
20260120,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260120,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260120,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260120,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260120,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260121,豆粕,m2609,09,中粮期货,18240,62414,-44174,净空,1097,5171
20260121,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260121,豆粕,m2609,09,摩根大通期货,18696,24240,-5544,净空,717,-100
20260121,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260121,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260121,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260121,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260121,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260122,豆粕,m2609,09,中粮期货,20294,89877,-69583,净空,2054,27463
20260122,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260122,豆粕,m2609,09,摩根大通期货,20330,24996,-4666,净空,1634,756
20260122,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260122,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260122,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260122,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260122,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260123,豆粕,m2609,09,中粮期货,20576,100003,-79427,净空,282,10126
20260123,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260123,豆粕,m2609,09,摩根大通期货,20541,23996,-3455,净空,211,-1000
20260123,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260123,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260123,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260123,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260123,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260126,豆粕,m2609,09,中粮期货,22126,100683,-78557,净空,1550,680
20260126,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260126,豆粕,m2609,09,摩根大通期货,22891,23996,-1105,净空,2350,0
20260126,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260126,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260126,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260126,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260126,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260127,豆粕,m2609,09,中粮期货,22600,101069,-78469,净空,474,386
20260127,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260127,豆粕,m2609,09,摩根大通期货,20187,24496,-4309,净空,-2704,500
20260127,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260127,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260127,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260127,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260127,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260128,豆粕,m2609,09,中粮期货,24322,88249,-63927,净空,1722,-12820
20260128,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260128,豆粕,m2609,09,摩根大通期货,15520,23791,-8271,净空,-4667,-705
20260128,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260128,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260128,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260128,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260128,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260129,豆粕,m2609,09,中粮期货,24935,106273,-81338,净空,613,18024
20260129,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260129,豆粕,m2609,09,摩根大通期货,15139,28288,-13149,净空,-381,4497
20260129,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260129,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260129,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260129,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260129,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260130,豆粕,m2609,09,中粮期货,26479,109602,-83123,净空,1544,3329
20260130,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260130,豆粕,m2609,09,摩根大通期货,16068,27760,-11692,净空,929,-528
20260130,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260130,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260130,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260130,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260130,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260202,豆粕,m2609,09,中粮期货,27322,118074,-90752,净空,843,8472
20260202,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260202,豆粕,m2609,09,摩根大通期货,18200,27720,-9520,净空,2132,-40
20260202,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260202,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260202,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260202,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260202,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260203,豆粕,m2609,09,中粮期货,30811,117865,-87054,净空,3489,-209
20260203,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260203,豆粕,m2609,09,摩根大通期货,19750,27236,-7486,净空,1550,-484
20260203,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260203,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260203,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260203,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260203,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260204,豆粕,m2609,09,中粮期货,30936,117653,-86717,净空,125,-212
20260204,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260204,豆粕,m2609,09,摩根大通期货,19957,27632,-7675,净空,207,396
20260204,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260204,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260204,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260204,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260204,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260205,豆粕,m2609,09,中粮期货,32186,119279,-87093,净空,1250,1626
20260205,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260205,豆粕,m2609,09,摩根大通期货,24357,43269,-18912,净空,4400,15637
20260205,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260205,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260205,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260205,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260205,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260205,豆粕,m2701,01,中粮期货,2822,6692,-3870,净空,2528,5447
20260205,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260205,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260205,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260206,豆粕,m2609,09,中粮期货,31896,120403,-88507,净空,-290,1124
20260206,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260206,豆粕,m2609,09,摩根大通期货,24256,43434,-19178,净空,-101,165
20260206,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260206,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260206,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260206,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260206,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260206,豆粕,m2701,01,中粮期货,3196,6976,-3780,净空,374,284
20260206,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260206,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260206,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260209,豆粕,m2609,09,中粮期货,38263,122448,-84185,净空,6367,2045
20260209,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260209,豆粕,m2609,09,摩根大通期货,32754,43164,-10410,净空,8498,-270
20260209,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260209,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260209,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260209,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260209,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260209,豆粕,m2701,01,中粮期货,2465,6863,-4398,净空,-731,-113
20260209,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260209,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260209,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260210,豆粕,m2609,09,中粮期货,39170,123234,-84064,净空,907,786
20260210,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260210,豆粕,m2609,09,摩根大通期货,36269,43365,-7096,净空,3515,201
20260210,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260210,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260210,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260210,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260210,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260210,豆粕,m2701,01,中粮期货,1075,7421,-6346,净空,-1390,558
20260210,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260210,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260210,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260211,豆粕,m2609,09,中粮期货,36441,124076,-87635,净空,-2729,842
20260211,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260211,豆粕,m2609,09,摩根大通期货,37039,40765,-3726,净空,770,-2600
20260211,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260211,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260211,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260211,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260211,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260211,豆粕,m2701,01,中粮期货,1671,7824,-6153,净空,596,403
20260211,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260211,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260211,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260212,豆粕,m2609,09,中粮期货,37600,125700,-88100,净空,1159,1624
20260212,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260212,豆粕,m2609,09,摩根大通期货,37488,44865,-7377,净空,449,4100
20260212,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260212,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260212,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260212,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260212,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260212,豆粕,m2701,01,中粮期货,2679,7840,-5161,净空,1008,16
20260212,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260212,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260212,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260213,豆粕,m2609,09,中粮期货,38896,125732,-86836,净空,1296,32
20260213,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260213,豆粕,m2609,09,摩根大通期货,36997,56865,-19868,净空,-491,12000
20260213,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260213,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260213,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260213,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260213,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260213,豆粕,m2701,01,中粮期货,2654,7832,-5178,净空,-25,-8
20260213,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260213,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260213,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260224,豆粕,m2609,09,中粮期货,39788,125355,-85567,净空,892,-377
20260224,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260224,豆粕,m2609,09,摩根大通期货,34848,56865,-22017,净空,-2149,0
20260224,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260224,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260224,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260224,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260224,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260224,豆粕,m2701,01,中粮期货,2674,7432,-4758,净空,20,-400
20260224,豆粕,m2701,01,乾坤期货,0,0,0,持平,0,0
20260224,豆粕,m2701,01,摩根大通期货,0,0,0,持平,0,0
20260224,豆粕,m2701,01,瑞银期货,0,0,0,持平,0,0
20260225,豆粕,m2609,09,中粮期货,41325,127794,-86469,净空,1537,2439
20260225,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260225,豆粕,m2609,09,摩根大通期货,31116,65915,-34799,净空,-3732,9050
20260225,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
