日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260224,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260225,菜油,OI2609,09,中粮期货,2413,6442,-4029,净空,-119,330
20260225,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260225,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260225,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260226,菜油,OI2609,09,中粮期货,2450,5966,-3516,净空,37,-476
20260226,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260226,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260226,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260227,菜油,OI2609,09,中粮期货,2340,5927,-3587,净空,-110,-39
20260227,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260227,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260227,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260302,菜油,OI2609,09,中粮期货,2364,7490,-5126,净空,24,1563
20260302,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260302,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260302,菜油,OI2609,09,瑞银期货,706,0,706,净多,-32,0
20260303,菜油,OI2609,09,中粮期货,3085,7775,-4690,净空,721,285
20260303,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260303,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260303,菜油,OI2609,09,瑞银期货,706,1500,-794,净空,0,1500
20260304,菜油,OI2609,09,中粮期货,3837,8358,-4521,净空,752,583
20260304,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260304,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260304,菜油,OI2609,09,瑞银期货,706,2000,-1294,净空,0,500
20260305,菜油,OI2609,09,中粮期货,4143,8437,-4294,净空,306,79
20260305,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260305,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260305,菜油,OI2609,09,瑞银期货,657,2000,-1343,净空,-49,0
20260306,菜油,OI2609,09,中粮期货,4371,10107,-5736,净空,228,1670
20260306,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260306,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260306,菜油,OI2609,09,瑞银期货,0,2000,-2000,净空,0,0
20260309,菜油,OI2609,09,中粮期货,3531,6118,-2587,净空,-840,-3989
20260309,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260309,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260309,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,中粮期货,3808,6243,-2435,净空,277,125
20260310,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,瑞银期货,587,0,587,净多,0,0
20260311,菜油,OI2609,09,中粮期货,3778,6200,-2422,净空,-30,-43
20260311,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260311,菜油,OI2609,09,摩根大通期货,654,0,654,净多,320,0
20260311,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260312,菜油,OI2609,09,中粮期货,3324,7604,-4280,净空,-454,1404
20260312,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260312,菜油,OI2609,09,摩根大通期货,1246,0,1246,净多,592,0
20260312,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260313,菜油,OI2609,09,中粮期货,3401,7526,-4125,净空,77,-78
20260313,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260313,菜油,OI2609,09,摩根大通期货,844,0,844,净多,-402,0
20260313,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260316,菜油,OI2609,09,中粮期货,4368,7610,-3242,净空,967,84
20260316,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260316,菜油,OI2609,09,摩根大通期货,866,0,866,净多,22,0
20260316,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260317,菜油,OI2609,09,中粮期货,4768,10185,-5417,净空,400,2575
20260317,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260317,菜油,OI2609,09,摩根大通期货,955,0,955,净多,89,0
20260317,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,中粮期货,4749,10175,-5426,净空,-19,-10
20260318,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,中粮期货,4800,12362,-7562,净空,51,2187
20260319,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,中粮期货,5186,12636,-7450,净空,386,274
20260320,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260323,菜油,OI2609,09,中粮期货,5019,13777,-8758,净空,-167,1141
20260323,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260323,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
