日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260127,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260127,菜粕,RM2609,09,摩根大通期货,0,3556,-3556,净空,0,110
20260127,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,中粮期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260128,菜粕,RM2609,09,中粮期货,7104,18392,-11288,净空,-467,745
20260128,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260128,菜粕,RM2609,09,摩根大通期货,0,3556,-3556,净空,0,0
20260128,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260128,菜粕,RM2701,01,中粮期货,0,466,-466,净空,0,460
20260128,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260128,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260128,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260129,菜粕,RM2609,09,中粮期货,7394,17305,-9911,净空,290,-1087
20260129,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260129,菜粕,RM2609,09,摩根大通期货,0,3880,-3880,净空,0,324
20260129,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260129,菜粕,RM2701,01,中粮期货,0,581,-581,净空,0,115
20260129,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260129,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260129,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260130,菜粕,RM2609,09,中粮期货,7292,15338,-8046,净空,-102,-1967
20260130,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260130,菜粕,RM2609,09,摩根大通期货,0,4380,-4380,净空,0,500
20260130,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260130,菜粕,RM2701,01,中粮期货,0,588,-588,净空,0,7
20260130,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260130,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260130,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260202,菜粕,RM2609,09,中粮期货,7855,15338,-7483,净空,563,0
20260202,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260202,菜粕,RM2609,09,摩根大通期货,0,4379,-4379,净空,0,-1
20260202,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260202,菜粕,RM2701,01,中粮期货,0,589,-589,净空,0,1
20260202,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260202,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260202,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260203,菜粕,RM2609,09,中粮期货,7670,15889,-8219,净空,-185,551
20260203,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260203,菜粕,RM2609,09,摩根大通期货,0,4157,-4157,净空,0,-222
20260203,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260203,菜粕,RM2701,01,中粮期货,0,588,-588,净空,0,-1
20260203,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260203,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260203,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260204,菜粕,RM2609,09,中粮期货,7875,16340,-8465,净空,205,451
20260204,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260204,菜粕,RM2609,09,摩根大通期货,0,3855,-3855,净空,0,-302
20260204,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260204,菜粕,RM2701,01,中粮期货,0,588,-588,净空,0,0
20260204,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260204,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260204,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260205,菜粕,RM2609,09,中粮期货,8452,17246,-8794,净空,577,906
20260205,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260205,菜粕,RM2609,09,摩根大通期货,0,3822,-3822,净空,0,-33
20260205,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260205,菜粕,RM2701,01,中粮期货,0,590,-590,净空,0,2
20260205,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260205,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260205,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260206,菜粕,RM2609,09,中粮期货,9446,17069,-7623,净空,994,-177
20260206,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260206,菜粕,RM2609,09,摩根大通期货,0,3286,-3286,净空,0,-536
20260206,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260206,菜粕,RM2701,01,中粮期货,0,877,-877,净空,0,287
20260206,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260206,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260206,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260209,菜粕,RM2609,09,中粮期货,9954,15729,-5775,净空,508,-1340
20260209,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260209,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,-123
20260209,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260209,菜粕,RM2701,01,中粮期货,0,1074,-1074,净空,0,197
20260209,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260209,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260209,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260210,菜粕,RM2609,09,中粮期货,10316,14944,-4628,净空,362,-785
20260210,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260210,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,0
20260210,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260210,菜粕,RM2701,01,中粮期货,0,1073,-1073,净空,0,-1
20260210,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260210,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260210,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260211,菜粕,RM2609,09,中粮期货,9887,15206,-5319,净空,-429,262
20260211,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260211,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,0
20260211,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260211,菜粕,RM2701,01,中粮期货,0,1070,-1070,净空,0,-3
20260211,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260211,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260211,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260212,菜粕,RM2609,09,中粮期货,9212,15605,-6393,净空,-675,399
